Código COMPE;Banco;Site
368;Banco CSF S.A.;https://www.carrefoursolucoes.com.br/
3;Banco da Amazonia S.A.;https://www.bancoamazonia.com.br/
83;Banco da China Brasil S.A.;https://www.bankofchina.com/br/pt/aboutus/
707;Banco Daycoval S.A.;https://www.daycoval.com.br/
51;Banco de Desenvolvimento do Espírito Santo S.A.;https://www.bandes.com.br/
300;Banco De La Nacion Argentina;https://www.bna.com.ar/
495;Banco De La Provincia De Buenos Aires;https://www.bancoprovincia.com.ar/
494;Banco de La Republica Oriental del Uruguay;https://www.brou.com.uy/
654;Banco Digimais S.A.;https://www.bancodigimais.com.br/
335;Banco Digio S.A.;https://www.digio.com.br/
47;Banco Do Estado De Sergipe S.A.;https://www.banese.com.br/
37;Banco Do Estado Do Pará S.A.;https://www.banpara.b.br/
41;Banco Do Estado Do Rio Grande Do Sul S.A. (BANRISUL);https://www.banrisul.com.br/
4;Banco Do Nordeste Do Brasil S.A.;https://www.bnb.gov.br/
265;Banco Fator S.A.;https://www.fator.com.br/
224;Banco Fibra S.A.;https://bancofibra.com.br/
94;Banco Finaxis S.A.;https://finaxis.com.br/
390;Banco Gm S.A.;https://www.chevroletsf.com.br/pt-br/inicio.html
612;Banco Guanabara S.A.;https://www.bancoguanabara.com.br/
269;Banco HSBC S.A.;https://www.business.hsbc.com.br/
12;Banco Inbursa S.A.;https://www.inbursa.com.br/
604;Banco Industrial Do Brasil S.A.;https://www.bib.com.br/
653;Banco Indusval S.A.;https://www.voiter.com/
249;Banco Investcred Unibanco S.A.;
184;Banco Itaú BBA S.A.;https://www.itau.com.br/itaubba-pt/quem-somos
29;Banco Itaú Consignado S.A.;https://www.itau.com.br/emprestimos-financiamentos/atendimento-consignado
479;Banco Itaubank S.A.;https://www.itau.com.br/
74;Banco J. Safra S.A.;https://www.safra.com.br/index.htm
376;Banco J.P. Morgan S.A.;https://www.jpmorgan.com.br/pt/about-us
217;Banco John Deere S.A.;https://www.deere.com.br/pt/financiamento/banco-john-deere/
76;Banco Kdb Do Brasil S.A.;https://www.kdb.co.kr/
757;Banco Keb Hana Do Brasil S.A.;https://bancokebhana.com.br/
600;Banco Luso Brasileiro S.A.;https://bancoluso.com.br/
243;Banco Master S.A.;https://www.bancomaster.com.br/
720;Banco RNX;https://www.bancornx.com.br/
389;Banco Mercantil do Brasil S.A.;https://bancomercantil.com.br/Paginas/Home.aspx
381;Banco Mercedes-Benz Do Brasil S.A.;www.bancomercedesbenz.com.br
370;Banco Mizuho Do Brasil S.A.;
746;Banco Modal S.A.;www.modalmais.com.br
66;Banco Morgan Stanley S.A.;www.morganstanley.com.br
456;Banco Mufg Brasil S.A.;www.bk.mufg.jp/br
7;Banco Nacional De Desenvolvimento Economico E Social;www.bndes.gov.br
169;Banco Olé Consignado S.A.;www.oleconsignado.com.br
79;Banco Original Do Agronegócio S.A.;www.original.agr.br
212;Banco Original S.A.;www.original.com.br
712;Banco Ourinvest S.A.;www.ourinvest.com.br
623;Banco Pan S.A.;www.bancopan.com.br
611;Banco Paulista S.A.;www.bancopaulista.com.br
643;Banco Pine S.A.;www.pine.com.br
747;Banco Rabobank International Brasil S.A.;www.rabobank.com.br
88;Banco Randon S.A.;www.bancorandon.com.br
633;Banco Rendimento S.A.;www.rendimento.com.br
741;Banco Ribeirao Preto S.A.;www.bancoribeiraopreto.com.br
120;Banco Rodobens S.A.;www.rodobens.com.br
422;Banco Safra S.A.;www.safra.com.br
743;Banco Semear S.A.;www.bancosemear.com.br
754;Banco Sistema S.A.;www.bancosistema.com.br
630;Banco Smartbank S.A.;
366;Banco Societe Generale Brasil S.A.;www.societegenerale.com.br
637;Banco Sofisa S.A.;www.sofisa.com.br
464;Banco Sumitomo Mitsui Brasileiro S.A.;www.smbcgroup.com.br
82;Banco Topázio S.A.;www.bancotopazio.com.br
387;Banco Toyota Do Brasil S.A.;www.bancotoyota.com.br
634;Banco Triangulo S.A.;www.bancotriangulo.com.br
18;Banco Tricury S.A.;www.tricury.com.br
393;Banco Volkswagen S.A.;www.vwfs.com.br
655;Banco Votorantim S.A.;www.bancovotorantim.com.br
610;Banco Vr S.A.;www.bancovr.com.br
119;Banco Western Union Do Brasil S.A.;www.westernunion.com.br
124;Banco Woori Bank Do Brasil S.A.;
348;Banco Xp S.A.;www.xp.com.br
81;Bancoseguro S.A.;http://www.bancoseguro.com.br/
21;Banestes S.A. Banco Do Estado do Espirito Santo;https://www.banestes.com.br/
755;Bank of America Merrill Lynch Banco Múltiplo S.A.;https://bofabrasil.com.br/
268;Bari Companhia Hipotecária;https://bancobari.com.br/
378;Bbc Leasing S.A. – Arrendamento Mercantil;https://www.bancobbcdigital.com.br/leasing-pf
250;Bcv – Banco De Crédito E Varejo S.A.;
144;Bexs Banco De Câmbio S/A;https://br.ebury.com/
253;Bexs Corretora De Câmbio S/A;
134;Bgc Liquidez Distribuidora De Títulos E Valores Mobiliários Ltda;https://www.bgcliquidez.com/
17;Bny Mellon Banco S.A.;https://www.bnymellon.com/br/pt.html
408;Bónuscred Sociedade De Crédito Direto S.A.;https://bonuscred.com.br/
301;Bpp Instituição De Pagamento S.A.;https://bpp.com.br/
126;Br Partners Banco De Investimento S.A.;https://brpartners.com.br/
70;BrB – Banco De Brasilia S.A.;https://novo.brb.com.br/
92;Brk S.A. Crédito;https://brk.com.br/
173;Brl Trust Distribuidora De Títulos E Valores Mobiliários S.A.;https://www.brltrust.com.br/
142;Broker Brasil Corretora De Câmbio Ltda.;https://www.brokerbrasilcambio.com.br/
292;Bs2 Distribuidora De Títulos E Valores Mobiliários S.A.;https://www.bancobs2.com.br/
309;Cambionet Corretora De Câmbio Ltda.;https://cambionet.com/
288;Carol Distribuidora De Titulos E Valores Mobiliarios Ltda.;https://www.caroldtvm.com.br/
324;Cartos Sociedade De Crédito Direto S.A.;https://www.cartos.com.br/
130;Caruana S.A. – Sociedade De Crédito;https://www.caruanafinanceira.com.br/
159;Casa Do Crédito S.A. Sociedade De Crédito Ao Microempreendedor;https://casadocredito.com.br/
114;Central Cooperativa De Crédito No Estado Do Espírito Santo – Cecoop;https://cecoop.com.br/central/
91;Central De Cooperativas De Economia E Crédito Mútuo Do Estado Do Rio Grande Do S;https://coopsergs.com.br/
320;China Construction Bank (Brasil) Banco Múltiplo S.A.;http://www.br.ccb.com/
362;Cielo S.A.;https://www.cielo.com.br/
477;Citibank N.A.;https://corporateportal.brazil.citibank.com/
180;Cm Capital Markets Corretora De Câmbio, Títulos E Valores Mobiliários Ltda;https://cmcapital.com.br/
127;Codepe Corretora De Valores E Câmbio S.A.;https://www.codepe.com.br/
31;Código Banco Beg S.A.;
163;Commerzbank Brasil S.A. – Banco Múltiplo;https://www.commerzbank.com.br/portal/pt/cb/br/brasil/home/brasilien.html
60;Confidence Corretora De Câmbio S.A.;https://www.confidencecambio.com.br/
85;Cooperativa Central De Crédito – Ailos;https://www.ailos.coop.br/
16;Cooperativa de Crédito Mutuo dos Despachantes de Trânsito de Santa Catarina e Rio Grande do Sul;https://www.sicoob.com.br/web/sicoobcreditran/sicoob-creditran
281;Cooperativa De Crédito Rural Coopavel;https://credicoopavel.com.br/
322;Cooperativa De Crédito Rural De Abelardo Luz – Sulcredi/Crediluz;https://www.sulcrediab.com.br/website/
391;Cooperativa De Credito Rural De Ibiam – Sulcredi/Ibiam;https://www.sulcrediibiam.com.br/
286;Cooperativa De Crédito Rural De Ouro Sulcredi/Ouro;https://www.sulcredi.com.br/
279;Cooperativa De Credito Rural De Primavera Do Leste;https://www.primacredi.com.br/
273;Cooperativa De Crédito Rural De São Miguel Do Oeste – Sulcredi/São Miguel;https://sulcredi.coop.br/
403;Cora Sociedade De Crédito Direto S.A.;www.corabanco.com.br
98;Credialiança Cooperativa De Crédito Rural;https://site.credialianca.com.br/
10;Credicoamo Credito Rural Cooperativa;https://credicoamo.com.br/
89;Credisan Cooperativa De Crédito;https://portal.credisan.com.br/
97;Credisis – Central De Cooperativas De Crédito Ltda.;https://credisis.com.br/
11;Credit Suisse Hedging-Griffo Corretora De Valores S.A;www.credit-suisse.com.br
342;Creditas Sociedade De Crédito Direto S.A.;www.creditas.com.br
321;Crefaz Sociedade De Crédito Ao Microempreendedor E A Empresa De Pequeno Porte Lt;www.crefaz.com.br
289;Decyseo Corretora De Cambio Ltda.;
487;Deutsche Bank S.A. – Banco Alemao;www.db.com.br
140;Easynvest – Título Corretora De Valores Sa;www.easynvest.com.br
149;Facta Financeira S.A. – Crédito Financiamento e Investimento;www.facta.com.br
196;Fair Corretora De Cambio S.A.;https://www.faircorretora.com.br/
343;Ffa Sociedade De Crédito Ao Microempreendedor E À Empresa De Pequeno Porte Ltda.;
331;Fram Capital Distribuidora De Títulos E Valores Mobiliários S.A.;https://framcapital.com/
285;Frente Corretora De Câmbio Ltda.;https://frentecorretora.com.br/
278;Genial Investimentos Corretora De Valores Mobiliários S.A.;www.genialinvestimentos.com.br
364;Gerencianet S.A.;www.gerencianet.com.br
138;Get Money Corretora De Câmbio S.A.;https://www.getmoney.com.br/
384;Global Financas – Sociedade De Credito Ao Microempreendedor E A Empresa De Pequeno Porte Ltda;https://globalscm.com.br/
64;Goldman Sachs Do Brasil Banco Multiplo S.A.;https://www.goldmansachs.com/worldwide/brazil/
177;Guide Investimentos S.A. Corretora De Valores;www.guide.com.br
146;Guitta Corretora De Cambio Ltda.;https://guitta.com.br/
78;Haitong Banco De Investimento Do Brasil S.A.;www.haitongib.com.br
62;Hipercard Banco Múltiplo S.A.;https://www.hipercard.com.br/
189;HS Financeira S/A Credito;https://hsfinanceira.com.br/
396;Hub Pagamentos S.A;
271;Ib Corretora De Câmbio, Títulos E Valores Mobiliários S.A.;https://www.ibcorretora.com.br/
157;Icap Do Brasil Corretora De Títulos E Valores Mobiliários Ltda.;https://www.mycap.com.br/
132;Icbc Do Brasil Banco Múltiplo S.A.;www.icbc.com.br
492;Ing Bank N.V.;www.ing.com.br
139;Intesa Sanpaolo Brasil S.A. – Banco Múltiplo;
652;Itaú Unibanco Holding S.A.;www.itau.com.br
488;Jpmorgan Chase Bank;www.jpmorganchase.com
399;Kirton Bank S.A. – Banco Múltiplo;
293;Lastro Rdv Distribuidora De Títulos E Valores Mobiliários Ltda.;https://lastro.com.br/
105;Lecca Crédito;https://www.lecca.com.br/
145;Levycam – Corretora De Cambio E Valores Ltda.;https://www.levycam.com.br/
397;Listo Sociedade De Credito Direto S.A.;https://soulisto.com.br/
113;Magliano S.A. Corretora De Cambio E Valores Mobiliarios;www.magliano.com.br
323;Mercadopago.Com Representacoes Ltda.;https://www.mercadopago.com.br/
274;Money Plus Sociedade De Crédito ao Microempreendedor e a Empresa De Pequeno Port;https://moneyp.com.br/
259;Moneycorp Banco De Câmbio S.A.;www.moneycorp.com.br
128;Ms Bank S.A. Banco De Câmbio;https://www.brazabank.com.br/
354;Necton Investimentos S.A. Corretora de Valores Mobiliários e Commodities;www.necton.com.br
735;Neon Pagamentos;www.neon.com.br
191;Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.;www.novafutura.com.br
753;Novo Banco Continental S.A. – Banco Múltiplo;www.novobancocontinental.com.br
111;Oliveira Trust Distribuidora de Títulos e Valores Mobiliarios S.A.;www.oliveiratrust.com.br
319;Om Distribuidora de Títulos e Valores Mobiliários Ltda;https://ourominas.com/om/quem-somos
613;Omni Banco S.A.;www.omnibanco.com.br
325;Órama Distribuidora de Títulos e Valores Mobiliários S.A.;www.orama.com.br
355;Ótimo Sociedade de Crédito Direto S.A.;www.otimofinanceira.com.br
290;Pagseguro Internet S.A.;www.pagseguro.com.br
254;Paraná Banco S.A.;www.paranabanco.com.br
326;Parati – Credito;https://parati-cfi.com.br/
194;Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda;https://www.parmetal.com.br/
174;Pefisa S.A. – Crédito;https://www.pefisa.com.br/
315;Pi Distribuidora de Títulos e Valores Mobiliários S.A.;www.pi.com.br
380;Picpay Servicos S.A.;www.picpay.com.br
100;Planner Corretora de Valores S.A.;www.planner.com.br
125;Plural S.A. Banco Múltiplo;www.plural.com.br
108;Portocred S.A. – Credito;https://www.portocred.com.br/
306;Portopar Distribuidora de Titulos e Valores Mobiliarios Ltda.;
306;Qi Sociedade de Crédito Direto S.A.;www.qipagamentos.com.br
329;Qi Sociedade de Crédito Direto S.A.;www.qipagamentos.com.br
283;Rb Capital Investimentos Distribuidora de Títulos e Valores Mobiliários Limitada;www.rbcapital.com.br
374;Realize Crédito;https://www.realizesolucoesfinanceiras.com.br/
101;Renascenca Distribuidora de Títulos e Valores Mobiliários Ltda;https://www.dtvm.com.br/
270;Sagitur Corretora De Câmbio Ltda.;https://www.sagiturcorretora.com.br/informacoes-de-contato/
751;Scotiabank Brasil S.A. Banco Múltiplo;www.scotiabank.com.br
276;Senff S.A. – Crédito;https://www.senff.com.br/
545;Senso Corretora De Cambio E Valores Mobiliarios S.A;https://sensoinvestimentos.com.br/
190;Servicoop – Cooperativa De Crédito Dos Servidores Públicos Estaduais Do Rio Gran;https://servicoop.com.br/
363;Socopa Sociedade Corretora Paulista S.A.;www.socopa.com.br
183;Socred S.A. – Sociedade De Crédito Ao Microempreendedor e a Empresa De Pequeno P;https://www.socredsa.com.br/
365;Solidus S.A. Corretora de Cambio e Valores Mobiliarios;www.soliduscorretora.com.br
299;Sorocred Crédito;
14;State Street Brasil S.A. – Banco Comercial;www.statestreet.com.br
197;Stone Pagamentos S.A.;www.stone.com.br
404;Sumup Sociedade De Crédito Direto S.A.;www.sumup.com.br
340;Super Pagamentos e Administração de Meios Eletrônicos S.A.;www.superdigital.com.br
370;Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.;www.terrainvestimentos.com.br
352;Toro Corretora De Títulos E Valores Mobiliários Ltda;www.toroinvestimentos.com.br
95;Travelex Banco De Câmbio S.A.;www.travelexbank.com.br
143;Treviso Corretora De Câmbio S.A.;www.trevisocc.com.br
131;Tullett Prebon Brasil Corretora de Valores e Câmbio Ltda;www.tullett.com.br
129;Ubs Brasil Banco de Investimento S.A.;www.ubs.com
15;Ubs Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.;www.ubs.com
136;Unicred Do Brasil – Confederação Nacional Das Cooperativas Centrais Unicred Ltda.;www.unicred.com.br
99;Uniprime Central – Central Interestadual De Cooperativas de Credito Ltda.;www.uniprimecentral.com.br
84;Uniprime Norte Do Paraná – Coop de Economia e Crédito Mútuo Dos Médicos;www.uniprime.com.br
373;UP.P Sociedade de Empréstimo Entre Pessoas S.A.;www.upfin.com.br
298;Vip’s Corretora de Câmbio Ltda.;https://www.vipscorretoradecambio.com.br/
296;Vision S.A. Corretora De Cambio;www.visioncorretora.com.br
367;Vitreo Distribuidora de Títulos e Valores Mobiliários S.A.;www.vitreo.com.br
310;Vortx Distribuidora de Titulos e Valores Mobiliarios Ltda.;https://portal.vortx.com.br/
102;Xp Investimentos Corretora de Câmbio,Títulos d Valores Mobiliários S/A;www.xpi.com.br
359;Zema CFI S.A.;https://www.zemafinanceira.com/
195;Valor Sociedade De Crédito Direto S.A.;
402;Cobuccio Sociedade De Crédito Direto S.A.;
386;Nu Financeira S.A. - Sociedade De Crédito, Financiamento E Investimento;
901;CCB Brasil S.A. - CFI;
902;Crefisa S.A. - CFI;
903;Banco Inter S.A. (077);
905;Financeira Alfa S.A.;
908;Parati - CFI S.A.;
910;Santinvest S.A.;
914;Bari S.A. - Crédito, Financiamento E Investimento;
917;Aspecir - Sociedade De Crédito Ao Microempreendedor E A Empresa De Pequeno Porte Ltda.;
921;Crediare S.A. Crédito, Financiamento E Investimento;
925;BRB Crédito, Financiamento E Investimento;
926;Mercantil Do Brasil Financeira S.A. - Crédito, Financiamento E Investimentos;
932;Gazincred S.A. - Sociedade De Crédito, Financiamento E Investimento;
934;Agibank Financeira S.A. - Crédito, Financiamento E Investimento;
936;Cooperativa De Economia E Crédito Mútuo Dos Aposentados Pensionistas E Idosos;
954;Banco Digio S.A. (335);
957;Via Certa Financiadora S.A.;
964;Becker Financeira S.A. - CFI;
965;Cooperativa De Economia E Crédito Mútuo Dos Empregados Da Johnson & Johnson;
966;Sabemi Seguradora S.A.;
967;Cooperativa De Economia De Crédito Mútuo Dos Servidores Das Empresas Brasileira Dos Correios E Telégrafos Ltda.;
968;União Seguradora S.A. Vida Previdência;
969;Comprev Vida E Previdência;
970;Midway S.A. - Crédito, Financiamento E Investimento;
971;Pintos S.A - Crédito Financiamento E Investimento - Pincred;
972;Capital Consignado Sociedade De Crédito Direto S.A.;
935;FACTA FINANCEIRA S.A.;
